Flight No.,Date and time (UTC),"Version, booster[h]",Launch site,Payload[i],Payload mass,Orbit,Customer,Launch outcome,Booster landing,source_table
198,"January 19, 2023 15:43[39]",F9 B5 B1075‑1,"Vandenberg, SLC‑4E",Starlink: Group 2-4 (51 satellites),"15,000 kg (33,000 lb)",LEO,SpaceX,Success,Success (OCISLY),0
198,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,0
199,"January 26, 2023 09:32[40]",F9 B5 B1067‑9,"Cape Canaveral, SLC‑40",Starlink: Group 5-2 (56 satellites),"~17,400 kg (38,400 lb)",LEO,SpaceX,Success,Success (JRTI),0
199,Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This was the heaviest payload to date flown on Falcon 9.[41],Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This was the heaviest payload to date flown on Falcon 9.[41],Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This was the heaviest payload to date flown on Falcon 9.[41],Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This was the heaviest payload to date flown on Falcon 9.[41],Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This was the heaviest payload to date flown on Falcon 9.[41],Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This was the heaviest payload to date flown on Falcon 9.[41],Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This was the heaviest payload to date flown on Falcon 9.[41],Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This was the heaviest payload to date flown on Falcon 9.[41],Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This was the heaviest payload to date flown on Falcon 9.[41],0
200,"January 31, 2023 16:15[42]",F9 B5 B1071‑7,"Vandenberg, SLC‑4E",Starlink: Group 2-6 (49 satellites),"~15,200 kg (33,500 lb)",LEO,SpaceX,Success,Success (OCISLY),0
200,"January 31, 2023 16:15[42]",F9 B5 B1071‑7,"Vandenberg, SLC‑4E",ION SCV009,"~15,200 kg (33,500 lb)",LEO,D-Orbit,Success,Success (OCISLY),0
200,"Launch of 49 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation. Also carried D-Orbit's ION SCV009 ""Eclectic Elena.""[43][44][45]","Launch of 49 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation. Also carried D-Orbit's ION SCV009 ""Eclectic Elena.""[43][44][45]","Launch of 49 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation. Also carried D-Orbit's ION SCV009 ""Eclectic Elena.""[43][44][45]","Launch of 49 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation. Also carried D-Orbit's ION SCV009 ""Eclectic Elena.""[43][44][45]","Launch of 49 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation. Also carried D-Orbit's ION SCV009 ""Eclectic Elena.""[43][44][45]","Launch of 49 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation. Also carried D-Orbit's ION SCV009 ""Eclectic Elena.""[43][44][45]","Launch of 49 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation. Also carried D-Orbit's ION SCV009 ""Eclectic Elena.""[43][44][45]","Launch of 49 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation. Also carried D-Orbit's ION SCV009 ""Eclectic Elena.""[43][44][45]","Launch of 49 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation. Also carried D-Orbit's ION SCV009 ""Eclectic Elena.""[43][44][45]",0
201,"February 2, 2023 07:58[42]",F9 B5 B1069‑5,"Kennedy, LC‑39A",Starlink: Group 5-3 (53 satellites),"16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (ASOG),0
201,Launch of 53 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 53 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 53 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 53 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 53 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 53 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 53 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 53 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 53 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,0
202,"February 7, 2023 01:32[46]",F9 B5 B1073‑6,"Cape Canaveral, SLC‑40",Amazonas Nexus,"4,146 kg (9,140 lb)",GTO,Hispasat,Success,Success (JRTI),0
202,A high-throughput telecommunications satellite.[47][48] Hosted payloads included USSF Pathfinder 2[49] and Tele Greenland A/S's GreenSat.[50][51],A high-throughput telecommunications satellite.[47][48] Hosted payloads included USSF Pathfinder 2[49] and Tele Greenland A/S's GreenSat.[50][51],A high-throughput telecommunications satellite.[47][48] Hosted payloads included USSF Pathfinder 2[49] and Tele Greenland A/S's GreenSat.[50][51],A high-throughput telecommunications satellite.[47][48] Hosted payloads included USSF Pathfinder 2[49] and Tele Greenland A/S's GreenSat.[50][51],A high-throughput telecommunications satellite.[47][48] Hosted payloads included USSF Pathfinder 2[49] and Tele Greenland A/S's GreenSat.[50][51],A high-throughput telecommunications satellite.[47][48] Hosted payloads included USSF Pathfinder 2[49] and Tele Greenland A/S's GreenSat.[50][51],A high-throughput telecommunications satellite.[47][48] Hosted payloads included USSF Pathfinder 2[49] and Tele Greenland A/S's GreenSat.[50][51],A high-throughput telecommunications satellite.[47][48] Hosted payloads included USSF Pathfinder 2[49] and Tele Greenland A/S's GreenSat.[50][51],A high-throughput telecommunications satellite.[47][48] Hosted payloads included USSF Pathfinder 2[49] and Tele Greenland A/S's GreenSat.[50][51],0
203,"February 12, 2023 05:10[52]",F9 B5 B1062‑12,"Cape Canaveral, SLC‑40",Starlink: Group 5-4 (55 satellites),"17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG),0
203,"Launch of 55 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.[53][54] This launch marked a new pad turnaround record for SpaceX, launching 5 days, 3 hours and 38 minutes after the previous mission from SLC-40.[55]","Launch of 55 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.[53][54] This launch marked a new pad turnaround record for SpaceX, launching 5 days, 3 hours and 38 minutes after the previous mission from SLC-40.[55]","Launch of 55 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.[53][54] This launch marked a new pad turnaround record for SpaceX, launching 5 days, 3 hours and 38 minutes after the previous mission from SLC-40.[55]","Launch of 55 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.[53][54] This launch marked a new pad turnaround record for SpaceX, launching 5 days, 3 hours and 38 minutes after the previous mission from SLC-40.[55]","Launch of 55 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.[53][54] This launch marked a new pad turnaround record for SpaceX, launching 5 days, 3 hours and 38 minutes after the previous mission from SLC-40.[55]","Launch of 55 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.[53][54] This launch marked a new pad turnaround record for SpaceX, launching 5 days, 3 hours and 38 minutes after the previous mission from SLC-40.[55]","Launch of 55 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.[53][54] This launch marked a new pad turnaround record for SpaceX, launching 5 days, 3 hours and 38 minutes after the previous mission from SLC-40.[55]","Launch of 55 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.[53][54] This launch marked a new pad turnaround record for SpaceX, launching 5 days, 3 hours and 38 minutes after the previous mission from SLC-40.[55]","Launch of 55 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.[53][54] This launch marked a new pad turnaround record for SpaceX, launching 5 days, 3 hours and 38 minutes after the previous mission from SLC-40.[55]",0
204,"February 17, 2023 19:12[52]",F9 B5 B1063‑9,"Vandenberg, SLC‑4E",Starlink: Group 2-5 (51 satellites),"15,900 kg (35,100 lb)",LEO,SpaceX,Success,Success (OCISLY),0
204,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.[56],Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.[56],Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.[56],Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.[56],Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.[56],Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.[56],Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.[56],Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.[56],Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.[56],0
205,"February 18, 2023 03:59[57]",F9 B5 B1077‑3,"Cape Canaveral, SLC‑40",Inmarsat-6 F2,"5,470 kg (12,060 lb)",GTO,Inmarsat,Success,Success (JRTI),0
